date;close
7/07/2020;239,39
8/07/2020;247,02
9/07/2020;242,15
10/07/2020;241,22
11/07/2020;239,24
12/07/2020;242,66
13/07/2020;239,54
14/07/2020;240,47
15/07/2020;238,47
16/07/2020;233,61
17/07/2020;232,77
18/07/2020;235,85
19/07/2020;239,16
20/07/2020;236,17
21/07/2020;245,87
22/07/2020;264,18
23/07/2020;275,65
24/07/2020;279,60
25/07/2020;305,67
26/07/2020;311,47
27/07/2020;322,23
28/07/2020;317,50
29/07/2020;318,14
30/07/2020;335,30
31/07/2020;346,94
1/08/2020;387,45
2/08/2020;371,93
3/08/2020;386,25
4/08/2020;389,79
5/08/2020;400,98
6/08/2020;395,04
7/08/2020;379,57
8/08/2020;397,56
9/08/2020;390,28
10/08/2020;395,71
11/08/2020;378,94
12/08/2020;387,19
13/08/2020;424,97
14/08/2020;438,51
15/08/2020;432,57
16/08/2020;433,85
17/08/2020;431,26
18/08/2020;422,19
19/08/2020;407,85
20/08/2020;416,04
21/08/2020;387,98
22/08/2020;395,46
23/08/2020;390,72
24/08/2020;408,03
25/08/2020;383,34
26/08/2020;386,02
27/08/2020;382,99
28/08/2020;395,54
29/08/2020;398,95
30/08/2020;429,18
31/08/2020;434,14
1/09/2020;475,99
2/09/2020;439,83
3/09/2020;382,46
4/09/2020;385,91
5/09/2020;335,24
6/09/2020;352,69
7/09/2020;353,70
8/09/2020;337,45
9/09/2020;351,15
10/09/2020;368,09
11/09/2020;373,99
12/09/2020;388,04
13/09/2020;366,28
14/09/2020;377,26
15/09/2020;364,16
16/09/2020;365,09
17/09/2020;389,54
18/09/2020;384,47
19/09/2020;385,27
20/09/2020;371,02
21/09/2020;340,19
22/09/2020;344,25
23/09/2020;320,19
24/09/2020;349,18
25/09/2020;352,02
26/09/2020;354,23
27/09/2020;357,73
28/09/2020;354,01
29/09/2020;359,92
30/09/2020;359,82
1/10/2020;353,21
2/10/2020;345,83
3/10/2020;346,32
4/10/2020;352,61
5/10/2020;353,76
6/10/2020;340,85
7/10/2020;341,91
8/10/2020;351,20
9/10/2020;365,41
10/10/2020;370,88
11/10/2020;374,37
12/10/2020;386,91
13/10/2020;381,41
14/10/2020;379,11
15/10/2020;377,70
16/10/2020;365,58
17/10/2020;368,65
18/10/2020;378,44
19/10/2020;379,41
20/10/2020;368,74
21/10/2020;391,46
22/10/2020;414,50
23/10/2020;409,57
24/10/2020;412,55
25/10/2020;406,36
26/10/2020;393,11
27/10/2020;403,74
28/10/2020;388,77
29/10/2020;387,54
30/10/2020;382,76
31/10/2020;386,77
1/11/2020;396,75
2/11/2020;383,61
3/11/2020;388,18
4/11/2020;402,66
5/11/2020;416,89
6/11/2020;456,32
7/11/2020;435,82
8/11/2020;454,74
9/11/2020;444,45
10/11/2020;450,86
11/11/2020;463,91
12/11/2020;462,78
13/11/2020;476,87
14/11/2020;461,03
15/11/2020;448,51
16/11/2020;461,01
17/11/2020;482,71
18/11/2020;478,76
19/11/2020;471,82
20/11/2020;510,43
21/11/2020;552,26
22/11/2020;560,01
23/11/2020;609,13
24/11/2020;604,98
25/11/2020;569,40
26/11/2020;520,22
27/11/2020;518,83
28/11/2020;537,99
29/11/2020;576,00
30/11/2020;616,14
1/12/2020;586,23
2/12/2020;598,26
3/12/2020;616,55
4/12/2020;567,67
5/12/2020;596,93
6/12/2020;602,30
7/12/2020;591,36
8/12/2020;554,82
9/12/2020;573,44
10/12/2020;558,36
11/12/2020;544,14
12/12/2020;568,26
13/12/2020;590,72
14/12/2020;586,35
